类型,应用,地址信息,备注,,,,,,,,,,,,,,,,,,,,,,,
公共组件,nacos,http://192.168.13.10:8848/nacos     没有密码,"部署目录：/data1/semptian/service/nacos
,门户前端,192.168.13.10, 部署目录：/semptian/web,,,,,,,,,,,,,,,,,,,,,,,
,权限中心,192.168.13.9:8199/permission," 部署目录：/data1/semptian/service/deye-permission-center-v6.2.2.e
启动命令：sh /data1/semptian/service/deye-permission-center-v6.2.2.e/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-permission-center-v6.2.2.e/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
基础库,基础库web,192.168.13.8:8098/basic_library," 部署目录：/data1/semptian/service/deye-basic-web-v6.4.0.1_B04
启动命令：sh /data1/semptian/service/deye-basic-web-v6.4.0.1_B04/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-basic-web-v6.4.0.1_B04/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,基础库前端,192.168.13.10, 部署目录：/semptian/web,,,,,,,,,,,,,,,,,,,,,,,
安全检测,安全检测web,192.168.13.8:8868/security_detection," 部署目录：/data1/semptian/service/deye-network-security-detection-v6.4.b05P02
启动命令：sh /data1/semptian/service/deye-network-security-detection-v6.4.b05P02/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-network-security-detection-v6.4.b05P02/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,安全检测前端,192.168.13.10, 部署目录：/semptian/web,,,,,,,,,,,,,,,,,,,,,,,
DDoS,后端,192.168.13.8," 部署目录：/data1/semptian/service/deye-threat-identification-web-v6.4.0.1
启动命令：sh /data1/semptian/service/deye-threat-identification-web-v6.4.0.1/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-threat-identification-web-v6.4.0.1/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,规则中心,192.168.13.8," 部署目录：/data1/semptian/service/deye-rule-center-service-v6.4.6.1
启动命令：sh /data1/semptian/service/deye-rule-center-service-v6.4.6.1/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-rule-center-service-v6.4.6.1/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,前端,192.168.13.10, 部署目录：/semptian/web,,,,,,,,,,,,,,,,,,,,,,,
报表中心,报表中心web,192.168.13.9:8093/report," 部署目录：/data1/semptian/service/deye-report-web-v6.4
启动命令：sh /data1/semptian/service/deye-report-web-v6.4/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-report-web-v6.4/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,报表中心前端,192.168.13.10, 部署目录：/semptian/web,,,,,,,,,,,,,,,,,,,,,,,
